chname,ename,gbcode,a100009_10,a100010_10,a100003_10,a100004_10,a100011_10,a100007_10,a100008_10,a100006_10,a100005_10,a100002_10,a100001_10
Դֵ´,LingYuanJieDaoBanShiChu,350582006,27648,1973,16488,9272,24849,15531,5353,16749,32280,18486,34974
,AnHaiZhen,350582101,132169,9056,79844,42447,102458,70657,25529,73142,143799,86910,166754
,CiZaoZhen,350582102,82073,6021,48351,29485,65145,43934,13943,45105,89039,53686,102037
ܤ,ChenDaiZhen,350582103,331056,5982,160746,79747,71663,97849,33468,110583,208432,209760,370506
ʯ,DongShiZhen,350582104,128133,8066,76379,39533,88533,63757,25106,66551,130308,84926,161305
,ShenHuZhen,350582105,75198,4372,44066,24603,37597,34829,10045,35245,70074,45549,89615
,JinJingZhen,350582106,67667,5355,40527,24785,41105,34558,10631,35259,69817,43126,83653
ص,ChiDianZhen,350582107,129229,4653,70350,48487,50612,60083,19622,66734,126817,83154,153504
ڿ,NeiKengZhen,350582109,62914,4866,38200,19972,54502,34318,12549,34616,68934,42129,80329
,LongHuZhen,350582110,100125,7133,57228,32703,66518,47288,13868,49336,96624,63898,121126
,YongHeZhen,350582111,85257,4997,49028,24442,57479,40937,15193,43733,84670,56419,105447
Ӣ,YingLinZhen,350582112,74726,3787,42363,16814,38399,27773,11503,28710,56483,47653,90016
ñ,ZiMaoZhen,350582113,12682,1028,7570,4387,10947,6958,2208,6902,13860,8348,15918
,XiBinZhen,350582114,12861,178,5970,3929,1224,4453,1409,5019,9472,8478,14448
ƽ,AnPingKaiFaQu,350582400,6608,174,3515,2295,34,2349,680,2767,5116,3947,7462
оÿ,JinJiangShiJingJiKaiFaQu,350582401,26381,47,10989,4810,76,3564,621,4792,8356,16060,27049
Ȫݳڼӹ,QuanZhouChuKouJiaGongQu,350582402,391,1,139,103,0,69,15,95,164,268,407
Ϫֵ,XiMeiJieDao,350583001,66626,5316,41138,22906,61331,36825,12289,37640,74465,43093,84231
ǽֵ,LiuChengJieDao,350583002,53425,4087,33463,18912,50074,31545,11036,31905,63450,35085,68548
ֵֽ,MeiLinJieDao,350583003,59947,4688,34948,16768,57366,30833,10415,33341,64174,40102,75050
ʡ,ShengXinZhen,350583100,38476,2926,23180,11410,36749,20808,7308,21986,42794,25530,48710
ز,LunCangZhen,350583101,69197,2926,34351,11311,28042,17240,5697,18091,35331,43469,77820
,DongTianZhen,350583102,25010,3119,16800,9188,32269,16571,5696,16438,33009,17025,33825
Ӣ,YingDouZhen,350583103,26333,3871,17473,10220,31004,16539,4838,16031,32570,17569,35042
,XiangYunZhen,350583104,10221,1863,7689,5206,13673,7637,3097,7400,15037,7492,15181
,JinTaoZhen,350583105,43406,5654,29745,17013,54292,28665,9369,27445,56110,28684,58429
ʫɽ,ShiShanZhen,350583106,44310,5811,30463,17191,55327,29720,9704,28438,58158,29362,59825
,PengHuaZhen,350583107,7148,1603,5704,3945,10360,5665,2178,5139,10804,5225,10929
ͷ,MaTouZhen,350583108,36487,5150,25646,13864,45686,24788,8122,23060,47848,24113,49759
Ŷ,JiuDouZhen,350583109,11367,1101,7372,4553,11530,6924,2157,6777,13701,7253,14625
ַ,LeFengZhen,350583110,19922,2471,13642,7351,25779,13623,4324,13002,26625,13075,26717
޶,LuoDongZhen,350583111,32174,3975,22218,12418,39211,21225,7019,19812,41037,20950,43168
÷ɽ,MeiShanZhen,350583112,51527,4638,32533,15445,52415,28473,8908,28307,56780,32540,65073
,HongLaiZhen,350583113,68144,5915,42650,20340,72045,38629,12292,39198,77827,43701,86351
÷,HongMeiZhen,350583114,22599,2898,16189,9460,29685,16097,5625,14805,30902,14933,31122
,KangMeiZhen,350583115,40825,3562,25795,12378,41004,22147,7743,21792,43939,26335,52130
,FengZhouZhen,350583116,35208,3357,22023,10922,37794,20835,6085,20844,41679,22627,44650
ϼ,XiaMeiZhen,350583117,54669,4623,32683,16001,59612,31261,9202,31881,63142,35811,68494
,GuanQiaoZhen,350583118,84938,7460,52419,29641,79127,48610,16054,48693,97303,56033,108452
ˮͷ,ShuiTouZhen,350583119,117601,8319,66771,36567,81541,56640,21417,57307,113947,80566,147337
ʯ,ShiJingZhen,350583120,72289,5817,43734,25384,61638,40733,14700,41512,82245,49072,92806
üɽ,MeiShanXiang,350583200,7365,1512,5447,4011,9979,5438,1803,5210,10648,5233,10680
,XiangYangXiang,350583201,5725,788,3842,2419,7604,3810,1388,3893,7703,4059,7901
ѩί,XueFengGuanWeiHui,350583400,1326,91,662,604,490,609,179,690,1299,934,1596
ͷֵ,DongPuTouJieDao,350602001,51745,4814,31733,14418,35430,20451,5506,18623,39074,30332,62065
Žֵ,XiQiaoJieDao,350602002,17759,2680,11892,8408,13991,11556,3197,11189,22745,11744,23636
Žֵ,XinQiaoJieDao,350602003,45986,4542,30628,18936,33888,28733,8948,27189,55922,28848,59476
ڽֵ,XiangKouJieDao,350602004,58610,6517,38995,26420,45477,36894,11117,35073,71967,37249,76244
Ͽӽֵ,NanKengJieDao,350602005,61054,6397,40192,27083,47386,39040,13541,39042,78082,40800,80992
ֵͨ,TongBeiJieDao,350602006,55332,4407,34072,16205,23591,21782,6959,21275,43057,32626,66698
,PuNanZhen,350602100,19008,2628,12281,8053,22251,12171,3969,12566,24737,13324,25605
챦,TianBaoZhen,350602101,31975,3996,21311,13239,39047,20840,7338,21188,42028,21998,43309
֥ɽ,ZhiShanZhen,350602102,33498,2120,19909,13836,17129,18037,6642,19519,37556,22351,42260
ʯͤ,ShiTingZhen,350602103,40328,3464,25481,16097,36591,24870,9549,26396,51266,27860,53341
ܼţ,XiangChengQuNaiNiuChang,350602400,35,5,15,25,13,15,1,26,41,26,41
ũ,HouFangNongChang,350602401,1231,175,787,569,1293,774,203,775,1549,822,1609
챦ֳ,TianBaoLinChang,350602402,84,12,34,43,36,27,3,49,76,65,99
ũ,DaFangNongChang,350602403,1544,187,903,517,1503,802,275,812,1614,1103,2006
ũ,WuFengNongChang,350602404,585,99,397,302,740,397,121,408,805,408,805
,LanTianZhen,350603100,36307,2682,21671,13838,30595,20228,6855,21400,41628,24173,45844
,BuWenZhen,350603101,38633,2672,24314,14976,29770,23008,8753,23531,46539,25744,50058
,ZhaoYangZhen,350603102,30156,3385,19461,10901,35216,19063,6301,19613,38676,20381,39842
,GuoKengZhen,350603103,13051,1684,8355,4773,14473,8122,2612,8311,16433,8992,17347
￪ί,LanTianKaiFaQuGuanWeiHui,350603500,13018,284,6614,3805,1921,3504,1070,4320,7824,7758,14372
,YunLingZhen,350622100,49537,5702,32992,18611,51930,32232,12203,33301,65533,34450,67442
,ChenDaiZhen,350622101,26516,3635,17603,9374,34602,17548,5664,18085,35633,18212,35815
,DongShaZhen,350622102,38347,4849,25056,13652,50056,24958,9276,27111,52069,27416,52472
,PuMeiZhen,350622103,58339,5063,38380,19991,48952,36910,15111,38815,75725,40133,78513
,LieYuZhen,350622104,14957,2160,9806,5567,19856,9773,3253,10502,20275,10564,20370
,HuoTianZhen,350622105,36342,4574,24480,13771,47851,24448,10164,26539,50987,26600,51080
º,XiaHeXiang,350622200,29889,3489,19295,10521,38545,18820,8060,21791,40611,22143,41438
,MaPuXiang,350622201,19506,2920,13903,8369,27724,13899,7013,15516,29415,15536,29439
ƽ,HePingXiang,350622202,9207,1580,6349,4120,12825,6337,2720,7087,13424,7158,13507
ƽũ,HePingNongChang,350622400,3954,564,2659,1612,5303,2655,1120,2974,5629,2979,5638
ɽȾÿ,ChangShanHuaQiaoJingJiKaiFaQu,350622500,14761,1944,9648,5602,16860,9430,3416,9703,19133,10473,20121
簲,SuiAnZhen,350623100,98771,8939,64227,34999,94976,59479,20431,59165,118644,63914,128141
,JiuZhenZhen,350623101,51406,5912,33898,18043,65238,33443,11562,34328,67771,34982,68880
,FoTanZhen,350623102,40573,4528,26988,15142,50666,26093,9259,26513,52606,27372,54360
,ChiHuZhen,350623103,39667,4470,26531,14528,50735,25716,9871,26638,52354,27477,54008
,DuXunZhen,350623104,42613,5557,28601,15910,56669,28483,10207,29530,58013,29776,58377
ϼ,XiaMeiZhen,350623105,40113,4768,26584,13637,52927,26539,9501,27775,54314,27798,54382
,GuanXunZhen,350623106,12822,1769,8972,5481,16764,8763,3437,8709,17472,9056,18028
ʯ,ShiLiuZhen,350623107,30810,3867,20200,11316,40299,20159,6709,21111,41270,21186,41386
,PanTuoZhen,350623108,20324,2216,13850,7200,24762,12930,4970,12966,25896,13660,27510
,ChangQiaoZhen,350623109,9263,1223,6110,3724,11217,6053,2015,6169,12222,6391,12501
ǰͤ,QianTingZhen,350623110,20602,2562,13910,8009,27244,13764,5259,14144,27908,14513,28423
ƺ,MaPingZhen,350623111,10524,1527,7217,4357,14046,7183,2649,7385,14568,7483,14700
,ShenTuZhen,350623112,35188,4088,23270,12632,46053,23120,8809,24563,47683,24815,48085
,LiuAoZhen,350623113,18533,2240,12012,6736,23852,11901,4392,12604,24505,13153,25165
ɳ,ShaXiZhen,350623114,31081,4051,20168,11118,40737,20155,6526,21454,41609,21490,41658
,GuLeiZhen,350623115,27321,2943,17105,8716,33428,16920,5756,17302,34222,18915,36020
,DaNanBanZhen,350623116,6997,860,4557,2683,7792,4383,1648,4412,8795,4948,9505
,NanPuXiang,350623200,5529,886,3865,2620,7410,3855,1418,3940,7795,3968,7833
,ChiLingSheZuXiang,350623201,8019,878,5404,3132,10843,5391,2258,5710,11101,5751,11155
,HuXiSheZuXiang,350623202,16287,2016,11115,6121,22196,11075,4466,11517,22592,11654,22769
,ChiTuXiang,350623203,13359,1356,8533,4713,16691,8232,2954,8580,16812,9136,17669
γ,ZhangPuYanChang,350623400,5370,835,3534,2330,6798,3521,1174,3783,7304,3845,7379
ũ,WanAnNongChang,350623401,4268,540,2928,1796,4800,2926,1041,2913,5839,2921,5849
ʯũ,ShiGuNongChang,350623402,1523,184,987,587,1793,984,345,1038,2022,1065,2052
ũ,ChangQiaoNongChang,350623403,1522,225,1010,621,1663,898,330,935,1833,1067,2077
ũ,BaiZhuHuNongChang,350623404,1223,192,816,544,1546,807,242,822,1629,841,1657
ɽȲ,NanShanHuaQiaoChaGuoChang,350623405,612,106,422,335,808,422,176,472,894,472,894
ֳ,ZhongXiLinChang,350623406,1282,189,838,570,1632,832,285,890,1722,918,1756
ɽ賡,DaiMaoShanChaChang,350623407,308,51,208,169,423,208,81,231,439,232,440
²ֳ,XiaCaiLinChang,350623408,261,13,141,72,132,115,38,120,235,171,312
گ,NanZhaoZhen,350624100,52101,7106,34223,20158,60575,33195,9061,33367,66562,34045,68268
Ķ,SiDouZhen,350624101,39478,5485,26393,13851,51716,26352,8784,27324,53676,27354,53747
÷,MeiLingZhen,350624102,23022,2822,15448,7788,30539,15426,5616,15969,31395,16012,31460
Ŷ,QiaoDongZhen,350624103,45161,6107,30606,16582,57857,30226,10757,31108,61334,31419,62025
,ShenQiaoZhen,350624104,43443,4949,29016,14506,54256,28963,10017,29304,58267,29393,58409
̫ƽ,TaiPingZhen,350624105,34833,3809,22837,11768,45419,22833,9343,25037,47870,25148,47985
ϼ,XiaGeZhen,350624106,24953,2228,16472,8006,32386,16472,7366,18075,34547,18075,34547
,GuanBeiZhen,350624107,36840,3810,24119,11507,48444,24116,11398,27920,52036,27929,52048
׭,XiuZhuanZhen,350624108,26490,3098,17584,9250,36778,17577,8539,20471,38048,20543,38127
,JinXingXiang,350624200,12895,1755,8671,4559,16728,8635,3047,8874,17509,9026,17697
̶,XiTanXiang,350624201,32929,4179,22723,11496,44771,22663,9082,23403,46066,23467,46190
,BaiYangXiang,350624202,21274,2626,14141,7448,28348,14141,5214,14973,29114,14973,29114
,JianSheXiang,350624203,9157,1152,5775,3177,11347,5468,2041,5796,11264,6575,12350
,HongXingXiang,350624204,10897,1220,6912,4050,14303,6911,2591,7788,14699,7796,14708
÷,MeiZhouXiang,350624205,13314,1761,8785,4830,17405,8766,3030,9295,18061,9320,18105
Ӫɽũ,GuoYingXiShanNongChang,350624401,148,8,30,112,0,28,5,118,146,131,161
Ӫֳ,GuoYingHuNeiLinChang,350624402,78,22,33,16,102,28,14,42,70,81,114
Ϫзֳ,LingXiaXiGuoYouFangHuLinChang,350624403,16,0,3,1,2,1,1,2,3,14,17
óί,BianMaoLvYouQuGuanWeiHui,350624500,8291,954,5465,2868,10850,5443,1887,5629,11072,5667,11132
گҵ԰ί,ZhaoAnGongYeYuanQuGuanWeiHui,350624600,1304,77,752,356,261,555,213,607,1162,842,1594
䰲,WuAnZhen,350625100,38874,4370,25334,14882,41217,24288,7815,23778,48066,25725,51059
Ϫ,YanXiZhen,350625101,27067,3337,17639,10346,33719,17458,5620,17869,35327,18385,36024
,ChenXiangZhen,350625102,21140,2666,13204,7417,25040,12979,3927,13357,26336,14529,27733
,FangYangZhen,350625103,12220,1509,7708,4418,15312,7656,2322,8202,15858,8343,16051
,BanLiXiang,350625200,7261,1109,4770,3035,9154,4681,1381,4785,9466,4981,9751
Ӫũũ,GuoYingGuNongNongChangXuNiZhen,350625400,9498,1183,5980,3550,9876,5847,1787,5974,11821,6488,12468
̩ÿ,ChangTaiJingJiKaiFaQu,350625500,16847,540,8439,3942,5499,4957,1737,5481,10438,10685,19124
Ϫ̬,MaYangXiShengTaiLvYouQu,350625501,7630,980,4798,2906,8725,4583,1544,4527,9110,5356,10154
ֶչҵ,LinDunGongYeQu,350625502,18961,1393,11417,6463,16941,10849,4091,11836,22685,13028,24445
,XiPuZhen,350626100,36466,4250,24715,13854,42098,23939,8498,23579,47518,24499,49214
,ZhangTangZhen,350626101,11777,1729,7957,4035,14784,7893,2510,7894,15787,8059,16016
,KangMeiZhen,350626102,18477,2177,11550,6422,17512,11261,3284,11295,22556,12388,23938
ӳ,XingChenZhen,350626103,19607,2793,13184,6890,25376,13154,4193,13300,26454,13409,26593
³,ChenChengZhen,350626104,26495,3018,16399,8393,30426,16191,5235,16455,32646,18349,34748
ǰ¥,QianLouZhen,350626105,9128,1316,6228,3099,11589,6217,2020,6174,12391,6236,12464
ͭ,TongLingZhen,350626106,37886,4869,23842,14247,44124,23427,5777,23507,46934,24690,48532
ɽ,ShanChengZhen,350627100,70341,8186,46202,27142,79955,44669,14739,45105,89774,47064,93266
,FengTianZhen,350627101,7963,921,4874,2716,8178,4495,1417,4662,9157,5427,10301
,JingChengZhen,350627102,49988,5462,32260,16432,59471,30439,10031,31001,61440,33221,65481
ɽ,LongShanZhen,350627103,28114,3293,18299,10625,34751,18180,6413,18851,37031,19521,37820
ɽ,JinShanZhen,350627104,28357,3418,18751,10579,34868,17880,6203,18257,36137,19227,37978
Ϫ,HeXiZhen,350627105,14259,1977,9424,5991,17747,9357,3202,9674,19031,10014,19438
,KuiYangZhen,350627106,7151,1270,5039,3421,9268,4988,1755,5014,10002,5137,10176
÷,MeiLinZhen,350627107,6899,989,4778,3025,9057,4768,1696,4784,9552,4806,9584
,ShuYangZhen,350627108,13328,1928,8812,5050,16904,8547,3011,8934,17481,9455,18267
,ChuanChangZhen,350627109,15799,2388,10213,5854,20262,10182,3110,10998,21180,11084,21297
Ͽ,NanKengZhen,350627110,7508,1258,4979,3506,9674,4961,1595,5325,10286,5382,10361
СϪ,XiaoXiZhen,350628100,69601,7396,46360,26663,76676,44518,18116,46383,90901,48753,95113
ɽ,ShanGeZhen,350628101,30728,3574,20365,11460,39819,20341,7861,21662,42003,21798,42163
ķ,WenFengZhen,350628102,10177,1211,6464,4059,12536,6398,2301,7133,13531,7225,13689
ʤ,NanShengZhen,350628103,16543,2145,11210,6881,21907,11210,4177,11646,22856,11655,22865
,BanZaiZhen,350628104,27779,3279,18774,10520,37236,18729,7402,19634,38363,19686,38460
,AnHouZhen,350628105,33070,4067,23684,13699,47176,23619,13090,26440,50059,26543,50227
Ϫ,DaXiZhen,350628106,25235,3975,17666,11243,36510,17622,9491,20920,38542,21035,38701
ϼկ,XiaZhaiZhen,350628107,30253,4072,21201,12706,41751,21167,9526,22528,43695,22650,43851
ŷ,JiuFengZhen,350628108,25759,3814,18433,11062,36218,18246,9116,19967,38213,20256,38689
«Ϫ,LuXiZhen,350628109,22033,3293,15785,9819,31704,15780,7715,17219,32999,17256,33041
կ,WuZhaiXiang,350628200,10631,1473,7619,4608,14955,7619,3651,8133,15752,8136,15755
ǿ,GuoQiangXiang,350628201,13787,1803,9170,5462,18817,9150,4119,10389,19539,10539,19709
,QiLingXiang,350628202,14562,2073,10153,5744,19963,10141,4726,11150,21291,11208,21361
,ChangLeXiang,350628203,5160,898,3640,2203,7274,3603,1722,4074,7677,4140,7780
,XiuFengXiang,350628204,6063,1423,4566,2922,9210,4541,2378,5188,9729,5298,9864
ũ,AnHouNongChang,350628400,1620,287,1254,834,2138,1223,660,1278,2501,1313,2567
ƾҵ,HuangJingGongYeKaiFaQu,350628401,3614,278,2100,1416,3398,2018,806,2256,4274,2598,4698
,HuaFengZhen,350629100,31471,3549,20730,13145,35667,19864,7136,20290,40154,21426,42156
ɽ,FengShanZhen,350629101,14446,2006,9365,6232,18052,9258,3052,9765,19023,10139,19504
ɳ,ShaJianZhen,350629102,18351,2187,11986,7235,22490,11692,4230,12290,23982,12782,24768
,XinWeiZhen,350629103,8667,1100,5568,3269,10410,5486,1851,5756,11242,6050,11618
߰,GaoAnZhen,350629104,8605,1043,5440,3265,10672,5417,1887,6001,11418,6095,11535
ɶ,XianDouZhen,350629105,21304,2360,14358,8412,27499,14337,5540,14806,29143,14846,29204
߳,GaoCheXiang,350629200,4654,602,2878,1672,5703,2843,928,3120,5963,3306,6184
,MaKengXiang,350629201,3785,506,2351,1491,4706,2319,836,2694,5013,2776,5127
,HuLinXiang,350629203,6637,823,4270,2551,7861,4212,1596,4561,8773,4786,9056
ʯ,ShiMaZhen,350681100,48207,7388,32698,21931,53427,31944,8285,29926,61870,31182,63880
,HaiChengZhen,350681101,56099,6853,37203,20908,66951,36024,11890,36021,72045,37639,74842
,JiaoMeiZhen,350681102,124452,10910,74391,51858,109506,70861,23424,75926,146787,84395,158786
ˮ,BaiShuiZhen,350681103,28307,3845,19162,10624,37162,19045,6489,19337,38382,19479,38641
,FuGongZhen,350681104,39083,4219,24707,13491,47473,24465,7951,25305,49770,26546,51253
Ϫ,ChengXiZhen,350681105,24736,3092,15822,10217,28903,14931,4712,15628,30559,16718,32540
β,GangWeiZhen,350681106,35459,3682,22222,12565,39082,21093,7649,20903,41996,24568,46790
ź,JiuHuZhen,350681107,45900,4954,28976,16047,51048,27840,8829,28648,56488,30707,59683
,YanCuoZhen,350681108,42836,4472,27799,14616,47914,26723,9569,27019,53742,29078,56877
ɽ,BangShanZhen,350681109,63286,6636,41463,22687,70265,40620,13984,40622,81242,42443,83906
,ZiNiZhen,350681110,41955,5259,27521,14568,51720,27396,8569,27358,54754,28262,55783
԰,DongYuanZhen,350681111,26413,3318,17363,8980,33099,17076,5833,17214,34290,18201,35564
,DongSiXiang,350681200,12393,1809,8571,5209,16569,8552,3066,8632,17184,8697,17268
¡,LongJiaoSheZuXiang,350681201,15518,2165,10530,5717,20361,10485,3913,10716,21201,11066,21596
˫ڻũ,ShuangDiHuaQiaoNongChang,350681400,2240,479,1525,1194,2675,1500,374,1506,3006,1568,3093
ֳ,JiuLongLingLinChang,350681401,105,18,56,54,98,55,10,68,123,77,133
Ϫũ,ChengXiNongChang,350681402,1073,112,635,524,568,611,209,678,1289,759,1394
ֳ,LiangZhongChang,350681403,632,80,402,286,553,402,105,408,810,415,817
ũ,CangBanNongChang,350681404,883,67,514,204,668,424,164,427,851,600,1114
ֳ,LinXiaLinChang,350681405,445,86,295,190,547,282,51,276,558,287,582
ҵ,JiaoMeiGongYeKaiFaQu,350681500,1856,11,703,560,5,397,97,565,962,1261,1964
̾ݿ,ZhaoShangJuZhangZhouKaiFaQu,350681501,40850,892,22176,7065,10889,8882,3544,9941,18823,23110,45286
԰,DongYuanKaiFaQu,350681502,41,2,19,18,43,19,8,24,43,32,51
ؿ,LongChiKaiFaQu,350681503,22354,278,10970,7987,1617,8866,3287,9910,18776,14949,25919
÷ɽֵ,MeiShanJieDao,350702001,23456,2715,15041,10218,14999,13754,3771,13154,26908,14901,29942
ƶսֵ,HuangDunJieDao,350702002,24193,3297,16056,11865,17477,15431,4762,15256,30687,16196,32252
ƽֵ,ZiYunJieDao,350702003,40270,5039,27071,18826,34087,25479,7865,24799,50278,26103,53174
ĺ׽ֵ,SiHeJieDao,350702004,49538,5393,32740,22827,38581,31186,10500,30777,61963,32691,65431
ˮϽֵ,ShuiNanJieDao,350702005,29438,4125,19290,14590,22543,18981,6496,19806,38787,20769,40059
ˮֵ,ShuiDongJieDao,350702006,29441,3000,18368,13573,18441,17908,6185,18572,36480,20258,38626
,LaiZhouZhen,350702100,6099,924,3893,3157,5070,3803,1313,4013,7816,4443,8336
,ZhangHuZhen,350702101,10620,1913,7526,5345,13990,7454,2709,7555,15009,7716,15242
ĵ,XiaDaoZhen,350702102,20011,2642,13097,7641,22940,12345,4905,12533,24878,14461,27558
,XiQinZhen,350702103,15962,2807,11337,8620,20180,11162,4825,11757,22919,12257,23594
Ͽ,XiaYangZhen,350702104,10754,2179,7972,5994,14970,7916,3071,7821,15737,8032,16004
ɽ,NanShanZhen,350702105,12483,2023,8703,6165,16467,8643,3378,8902,17545,9181,17884
,DaHengZhen,350702106,10413,1428,6891,4684,11159,6706,2516,6672,13378,7466,14357
̨,WangTaiZhen,350702107,11114,2031,8040,5715,15112,7986,3161,8139,16125,8266,16306
̫ƽ,TaiPingZhen,350702108,9572,1447,6147,4288,11135,6063,2371,6625,12688,7243,13390
ǰ,TaQianZhen,350702109,10170,1922,7355,5208,13842,7291,3538,8169,15460,8275,15630
ã,MangDangZhen,350702110,7824,1229,5121,4148,8295,5023,1970,5731,10754,5902,11023
,YangHouZhen,350702111,4786,894,3312,2588,6599,3309,1463,3820,7129,3831,7143
¯,LuXiaZhen,350702112,8517,1072,5613,3352,10672,5501,2245,5964,11465,6221,11834
޿,JuKouXiang,350702200,3319,907,2256,2047,4373,2229,836,2517,4746,2806,5062
,ChiMenXiang,350702202,3330,798,2398,1912,4541,2299,900,2395,4694,2630,5028
˫Ϫֵ,ShuangXiJieDao,350721001,47309,6535,32107,22729,43744,30453,9551,29637,60090,31288,63395
,JianXiZhen,350721100,7723,1710,5438,4377,10045,5409,1639,5574,10983,5634,11072
,YangKouZhen,350721101,9211,1710,6387,4567,11253,6269,2150,6268,12537,6684,13071
Ԫ,YuanKengZhen,350721102,8236,1441,5617,4209,10113,5532,1989,5839,11371,6049,11666
,PuShangZhen,350721103,12146,1899,8160,5805,14307,8106,2732,8398,16504,8617,16777
,DaLiZhen,350721104,4068,839,2855,2203,5371,2825,928,2888,5713,2980,5835
,DaGanZhen,350721105,9484,1386,6073,4327,10957,6031,1816,6372,12403,6613,12686
,RenShouZhen,350721106,8993,1363,6072,4056,10796,6017,2267,6455,12472,6551,12623
,YangDunXiang,350721200,5732,908,3848,2599,6985,3811,1278,3970,7781,4070,7918
֣,ZhengFangXiang,350721201,4880,978,3433,2673,6496,3407,1381,3711,7118,3806,7239
,LanXiaXiang,350721202,10965,1829,7293,5175,14203,7242,2127,7543,14785,7628,14921
,GaoYangXiang,350721203,10092,1637,6923,4760,13539,6899,2656,7374,14273,7462,14385
ֵֽ,NanPuJieDao,350722001,40955,5247,28649,18238,36302,27423,9622,25965,53388,27175,55824
ӱֵ,HeBinJieDao,350722002,22963,3438,16513,11381,17320,16185,6173,15551,31736,16061,32574
,FuLingZhen,350722101,14894,3163,10757,7646,20924,10619,4354,10932,21551,11654,22411
ʯ,ShiBeiZhen,350722102,16411,2641,12139,7950,23175,12029,5692,12396,24425,12605,24744
ٽ,LinJiangZhen,350722103,8330,1498,6328,4340,11911,6230,2819,6140,12370,6319,12647
,XianYangZhen,350722104,15407,3219,11485,7670,21533,10768,4792,11018,21786,11933,23418
ˮ,ShuiBeiJieZhen,350722105,7901,1764,5862,4664,11264,5718,2536,6072,11790,6339,12201
,YongXingZhen,350722106,8699,1900,6557,5181,12595,6521,2785,6714,13235,6827,13384
,ZhongXinZhen,350722107,10959,2703,8523,6690,16316,8453,3809,8718,17171,8948,17471
,LianTangZhen,350722108,11350,1984,8153,6090,13553,8072,3520,8494,16566,8701,16854
,JiuMuZhen,350722109,5919,1096,4371,2917,8368,4306,1911,4444,8750,4555,8926
,WanAnXiang,350722200,6081,1060,4316,3057,7949,4281,1711,4350,8631,4536,8852
¥,GuLouXiang,350722201,4899,973,3450,2672,6793,3401,1432,3689,7090,3854,7304
ɽ,ShanXiaXiang,350722202,4316,822,3207,2278,6294,3146,1496,3356,6502,3427,6634
Ϫ,FengXiXiang,350722203,2464,589,1679,1353,3481,1639,657,1955,3594,2031,3710
婴,HaoCunXiang,350722204,3261,638,2490,1619,4658,2455,1238,2567,5022,2647,5137
,GuanCuoXiang,350722205,6131,1763,4853,3951,9422,4739,2045,4932,9671,5086,9939
ͤ,PanTingXiang,350722206,6093,1284,4877,3448,8916,4795,2550,4878,9673,5050,9927
·,GuanLuXiang,350722207,4466,1076,3677,2684,6721,3651,1712,3530,7181,3577,7254
ˮũ,ShuiNanNongChang,350722400,3815,466,2750,1742,2976,2719,1091,2569,5288,2622,5372
,HangChuanZhen,350723100,35885,3950,24343,16738,27747,23634,9144,23475,47109,24636,48979
կ,ZhaiLiZhen,350723101,9886,1811,7090,4640,13079,6765,2937,7000,13765,7544,14634
ֹ,ZhiMaZhen,350723102,6781,1226,5020,3515,8980,4918,2278,5040,9958,5265,10285
,LuanFengXiang,350723200,12996,1523,8555,5482,13395,8132,3345,8655,16787,9309,17864
,ChongRenXiang,350723201,6375,965,4394,2917,7744,4296,1878,4637,8933,4824,9218
,LiFangXiang,350723202,4568,944,3424,2539,6379,3379,1550,3534,6913,3638,7062
,HuaQiaoXiang,350723203,8292,1532,6159,4166,11090,6105,2842,6388,12493,6507,12666
˾ǰ,SiQianXiang,350723204,8972,1738,6560,4445,12645,6516,2695,6724,13240,6845,13405
Դֵ,SongYuanJieDao,350724001,31575,3403,20984,13544,27799,20148,7414,20397,40545,21408,42392
֣,ZhengDunZhen,350724101,9308,1462,6259,4700,12101,6180,2378,6529,12709,6889,13148
μ,WeiTianZhen,350724102,10258,1897,7147,5535,14111,7096,2452,7392,14488,7460,14607
Ӷ,HeDongXiang,350724200,8899,1228,6052,4139,7947,6015,2195,6072,12087,6270,12322
ƽ,ChaPingXiang,350724201,7642,1014,5260,3394,10230,5242,2077,5433,10675,5473,10733
,JiuXianXiang,350724202,6722,1094,4328,3342,8474,4258,1329,4561,8819,4817,9145
Ϫ,XiDongXiang,350724203,5890,975,4023,2946,8146,3968,1453,4187,8155,4295,8318
,HuaQiaoXiang,350724204,6422,1133,4557,3131,8978,4425,1707,4556,8981,4705,9262
,ZuDunXiang,350724205,4003,768,2683,2069,5316,2674,774,2832,5506,2862,5545
ɽֵ,XiongShanJieDao,350725001,35061,3256,23011,14103,29805,21677,9300,22965,44642,24606,47617
ƽ,DongPingZhen,350725101,14095,1735,9125,6286,17557,9096,3501,10052,19148,10206,19331
ʯ,ShiTunZhen,350725102,11636,1555,7513,5552,12882,7409,2940,7984,15393,8618,16131
ɽ,TieShanZhen,350725103,12690,1409,8225,5058,15849,8142,3333,8977,17119,9207,17432
ǰ,ZhenQianZhen,350725104,11029,1738,7464,5530,14734,7402,3017,8229,15631,8320,15784
Ϫ,XingXiXiang,350725200,11384,1190,6797,4414,13053,6596,2214,7271,13867,7991,14788
,WaiTunXiang,350725201,5629,785,3671,2742,7213,3602,1335,3930,7532,4078,7749
Դ,YangYuanXiang,350725202,8584,1230,4680,3653,9300,4525,1480,5125,9650,6614,11294
Դ,ChengYuanXiang,350725203,10331,1779,6926,5753,13752,6915,2644,7679,14594,7828,14754
